Frequency of Green LED: 5
Duty Cycle of Green LED: 20
Frequency of Red LED: 5
Duty Cycle of Red LED: 50
Time, Green LED, Red LED
0.00,      1,       1
0.02,      1,       1
0.04,      1,       1
0.06,      0,       1
0.08,      0,       1
0.10,      0,       1
0.12,      0,       0
0.14,      0,       0
0.16,      0,       0
0.18,      0,       0
0.20,      0,       0
0.22,      1,       1
0.24,      1,       1
0.26,      0,       1
0.28,      0,       1
0.30,      0,       1
0.32,      0,       0
0.34,      0,       0
0.36,      0,       0
0.38,      0,       0
0.40,      0,       0
0.42,      1,       1
0.44,      1,       1
0.46,      0,       1
0.48,      0,       1
0.50,      0,       1
0.52,      0,       0
0.54,      0,       0
0.56,      0,       0
0.58,      0,       0
0.60,      0,       0
0.62,      1,       1
0.64,      1,       1
0.66,      0,       1
0.68,      0,       1
0.70,      0,       1
0.72,      0,       0
0.74,      0,       0
0.76,      0,       0
0.78,      0,       0
0.80,      0,       0
0.82,      1,       1
0.84,      1,       1
0.86,      0,       1
0.88,      0,       1
0.90,      0,       1
0.92,      0,       0
0.94,      0,       0
0.96,      0,       0
0.98,      0,       0
1.00,      0,       0
1.02,      1,       1
1.04,      1,       1
1.06,      0,       1
1.08,      0,       1
1.10,      0,       1
1.12,      0,       0
1.14,      0,       0
1.16,      0,       0
1.18,      0,       0
1.20,      0,       0
1.22,      1,       1
1.24,      1,       1
1.26,      0,       1
1.28,      0,       1
1.30,      0,       1
1.32,      0,       0
1.34,      0,       0
1.36,      0,       0
1.38,      0,       0
1.40,      0,       0
1.42,      1,       1
1.44,      1,       1
1.46,      0,       1
1.48,      0,       1
1.50,      0,       1
1.52,      0,       0
1.54,      0,       0
1.56,      0,       0
1.58,      0,       0
1.60,      0,       0
1.62,      1,       1
1.64,      1,       1
1.66,      0,       1
1.68,      0,       1
1.70,      0,       1
1.72,      0,       0
1.74,      0,       0
1.76,      0,       0
1.78,      0,       0
1.80,      0,       0
1.82,      1,       1
1.84,      1,       1
1.86,      0,       1
1.88,      0,       1
1.90,      0,       1
1.92,      0,       0
1.94,      0,       0
1.96,      0,       0
1.98,      0,       0
2.00,      0,       0
2.02,      1,       1
2.04,      1,       1
2.06,      0,       1
2.08,      0,       1
2.10,      0,       1
2.12,      0,       0
2.14,      0,       0
2.16,      0,       0
2.18,      0,       0
2.20,      0,       0
2.22,      1,       1
2.24,      1,       1
2.26,      0,       1
2.28,      0,       1
2.30,      0,       1
2.32,      0,       0
2.34,      0,       0
2.36,      0,       0
2.38,      0,       0
2.40,      0,       0
2.42,      1,       1
2.44,      1,       1
2.46,      0,       1
2.48,      0,       1
2.50,      0,       1
2.52,      0,       0
2.54,      0,       0
2.56,      0,       0
2.58,      0,       0
2.60,      0,       0
2.62,      1,       1
2.64,      1,       1
2.66,      0,       1
2.68,      0,       1
2.70,      0,       1
2.72,      0,       0
2.74,      0,       0
2.76,      0,       0
2.78,      0,       0
2.80,      0,       0
2.82,      1,       1
2.84,      1,       1
2.86,      0,       1
2.88,      0,       1
2.90,      0,       1
2.92,      0,       0
2.94,      0,       0
2.96,      0,       0
2.98,      0,       0
3.00,      0,       0
3.02,      1,       1
3.04,      1,       1
3.06,      0,       1
3.08,      0,       1
3.10,      0,       1
3.12,      0,       0
3.14,      0,       0
3.16,      0,       0
3.18,      0,       0
3.20,      0,       0
3.22,      1,       1
3.24,      1,       1
3.26,      0,       1
3.28,      0,       1
3.30,      0,       1
3.32,      0,       0
3.34,      0,       0
3.36,      0,       0
3.38,      0,       0
3.40,      0,       0
3.42,      1,       1
3.44,      1,       1
3.46,      0,       1
3.48,      0,       1
3.50,      0,       1
3.52,      0,       0
3.54,      0,       0
3.56,      0,       0
3.58,      0,       0
3.60,      0,       0
3.62,      1,       1
3.64,      1,       1
3.66,      0,       1
3.68,      0,       1
3.70,      0,       1
3.72,      0,       0
3.74,      0,       0
3.76,      0,       0
3.78,      0,       0
3.80,      0,       0
3.82,      1,       1
3.84,      1,       1
3.86,      0,       1
3.88,      0,       1
3.90,      0,       1
3.92,      0,       0
3.94,      0,       0
3.96,      0,       0
3.98,      0,       0
4.00,      0,       0
4.02,      1,       1
4.04,      1,       1
4.06,      0,       1
4.08,      0,       1
4.10,      0,       1
4.12,      0,       0
4.14,      0,       0
4.16,      0,       0
4.18,      0,       0
4.20,      0,       0
4.22,      1,       1
4.24,      1,       1
4.26,      0,       1
4.28,      0,       1
4.30,      0,       1
4.32,      0,       0
4.34,      0,       0
4.36,      0,       0
4.38,      0,       0
4.40,      0,       0
4.42,      1,       1
4.44,      1,       1
4.46,      0,       1
4.48,      0,       1
4.50,      0,       1
4.52,      0,       0
4.54,      0,       0
4.56,      0,       0
4.58,      0,       0
4.60,      0,       0
4.62,      1,       1
4.64,      1,       1
4.66,      0,       1
4.68,      0,       1
4.70,      0,       1
4.72,      0,       0
4.74,      0,       0
4.76,      0,       0
4.78,      0,       0
4.80,      0,       0
4.82,      1,       1
4.84,      1,       1
4.86,      0,       1
4.88,      0,       1
4.90,      0,       1
4.92,      0,       0
4.94,      0,       0
4.96,      0,       0
4.98,      0,       0
5.00,      0,       0
5.02,      1,       1
5.04,      1,       1
5.06,      0,       1
5.08,      0,       1
5.10,      0,       1
5.12,      0,       0
5.14,      0,       0
5.16,      0,       0
5.18,      0,       0
5.20,      0,       0
5.22,      1,       1
5.24,      1,       1
5.26,      0,       1
5.28,      0,       1
5.30,      0,       1
5.32,      0,       0
5.34,      0,       0
5.36,      0,       0
5.38,      0,       0
5.40,      0,       0
5.42,      1,       1
5.44,      1,       1
5.46,      0,       1
5.48,      0,       1
5.50,      0,       1
5.52,      0,       0
5.54,      0,       0
5.56,      0,       0
5.58,      0,       0
5.60,      0,       0
5.62,      1,       1
5.64,      1,       1
5.66,      0,       1
5.68,      0,       1
5.70,      0,       1
5.72,      0,       0
5.74,      0,       0
5.76,      0,       0
5.78,      0,       0
5.80,      0,       0
5.82,      1,       1
5.84,      1,       1
5.86,      0,       1
5.88,      0,       1
5.90,      0,       1
5.92,      0,       0
5.94,      0,       0
5.96,      0,       0
5.98,      0,       0
6.00,      0,       0
6.02,      1,       1
6.04,      1,       1
6.06,      0,       1
6.08,      0,       1
6.10,      0,       1
6.12,      0,       0
6.14,      0,       0
6.16,      0,       0
6.18,      0,       0
6.20,      0,       0
6.22,      1,       1
6.24,      1,       1
6.26,      0,       1
6.28,      0,       1
6.30,      0,       1
6.32,      0,       0
6.34,      0,       0
6.36,      0,       0
6.38,      0,       0
6.40,      0,       0
6.42,      1,       1
6.44,      1,       1
6.46,      0,       1
6.48,      0,       1
6.50,      0,       1
6.52,      0,       0
6.54,      0,       0
6.56,      0,       0
6.58,      0,       0
6.60,      0,       0
6.62,      1,       1
6.64,      1,       1
6.66,      0,       1
6.68,      0,       1
6.70,      0,       1
6.72,      0,       0
6.74,      0,       0
6.76,      0,       0
